FORECAST DE VENTAS 2020;;;;;;;;;;;;;
Item;202001;202002;202003;202004;202005;202006;202007;202008;202009;202010;202011;202012;Total
6;3.306,20;2.679,85;2.645,18;387,98;;;;;;;;;9.019,21
7;1.213,00;5.419,88;1.806,81;660,72;;;;;;;;;9.100,41
8;2.033,85;1.403,34;3.792,96;698,86;;;;;;;;;7.929,01
9;2.058,16;4.067,77;3.145,83;2.242,08;;;;;;;;;11.513,84
10;2.192,00;3.622,36;3.750,88;;;;;;;;;;9.565,24
11;4.082,86;1.718,43;2.546,30;1.210,97;1.642,90;1.137,12;3.465,20;1.555,83;1.704,71;1.732,58;1.768,47;2.879,17;25.444,54
12;4.357,54;4.652,13;5.118,93;1.750,20;863,10;1.837,16;1.207,63;327,50;1.353,97;1.122,35;1.213,49;2.959,56;26.763,56
13;4.450,76;3.837,07;3.060,29;1.414,52;1.741,73;602,11;2.178,44;1.928,05;1.468,53;957,26;1.675,51;3.260,15;26.574,42
14;3.119,15;3.823,61;5.958,27;1.371,82;317,04;1.989,46;884,06;1.218,76;219,63;1.632,02;290,43;3.937,46;24.761,71
15;3.282,18;5.946,71;7.081,00;1.986,79;689,92;1.344,92;1.567,91;582,75;1.059,14;1.497,23;769,66;2.963,77;28.771,98
16;3.730,04;5.364,65;4.110,81;1.804,67;4.316,28;1.329,96;1.092,08;1.683,06;2.879,48;2.226,53;2.131,22;3.425,01;34.093,79
17;5.044,08;4.896,22;3.722,14;1.307,31;845,39;475,18;550,48;1.306,31;1.445,04;2.358,87;1.741,75;3.186,27;26.879,04
18;3.814,62;4.784,12;3.836,04;4.143,33;1.016,87;1.287,04;1.628,98;993,59;957,97;705,34;993,33;3.088,00;27.249,23
19;3.038,61;2.937,55;3.233,41;1.894,93;1.580,43;1.417,82;2.391,67;1.435,06;324,46;488,52;419,93;2.997,18;22.159,57
20;5.555,72;6.046,31;2.039,76;1.375,36;2.400,60;2.755,99;574,68;1.732,75;1.483,13;1.600,04;967,79;4.502,54;31.034,67
21;5.675,74;1.606,51;3.237,29;1.173,51;1.124,68;1.966,89;1.177,21;1.101,01;754,13;859,52;867,00;4.022,45;23.565,94
22;3.783,74;5.166,25;3.414,41;849,79;2.731,12;755,91;4.228,00;973,97;2.187,10;1.919,45;2.563,03;2.255,42;30.828,19
23;2.550,26;2.976,64;5.155,41;3.028,42;929,20;1.118,91;3.562,21;1.454,64;1.698,21;2.049,56;2.378,54;1.819,66;28.721,66
24;3.159,34;4.184,41;5.255,15;1.344,96;2.529,89;791,65;882,88;613,42;706,39;750,99;592,02;2.240,82;23.051,92
25;3.382,90;3.720,98;6.225,49;2.332,96;935,72;1.475,85;2.953,20;1.744,28;2.033,97;1.777,49;1.951,54;2.932,86;31.467,24
26;4.664,78;3.343,76;5.767,84;1.932,70;1.567,49;1.544,06;1.076,73;1.292,48;1.323,08;1.530,33;1.592,91;4.018,59;29.654,75
27;3.429,07;5.889,96;4.793,83;1.065,65;1.230,24;1.156,15;4.340,79;1.178,21;753,05;798,02;781,69;2.081,17;27.497,83
28;4.607,39;1.866,07;3.846,75;1.502,98;1.641,56;1.726,01;1.845,81;1.377,63;833,55;704,04;1.209,53;3.667,26;24.828,58
29;2.751,13;2.783,46;4.413,43;1.230,68;618,90;1.484,24;494,09;598,25;562,72;698,37;637,76;1.926,69;18.199,72
30;3.961,20;7.225,11;3.753,94;1.090,45;531,55;806,32;2.366,92;1.276,43;1.234,46;405,60;1.276,44;2.173,23;26.101,65
31;3.539,09;2.731,39;2.974,33;660,77;1.752,53;1.679,03;2.362,43;860,84;668,46;722,62;678,54;3.990,15;22.620,18
32;5.685,72;4.247,88;3.803,81;1.957,00;755,98;235,08;624,25;4.392,20;1.319,43;1.178,80;1.421,53;3.583,91;29.205,59
33;3.262,54;2.965,06;4.413,30;2.236,77;3.054,66;1.157,55;892,30;1.445,22;1.246,31;1.880,56;1.140,28;2.507,66;26.202,21
34;2.525,95;3.700,49;4.264,16;2.137,85;1.082,85;505,90;1.195,61;3.514,04;1.354,16;2.047,17;1.354,48;2.022,25;25.704,91
35;3.125,97;2.796,69;3.940,13;970,44;1.530,04;555,80;1.094,81;1.915,64;1.039,47;811,57;1.094,17;3.361,33;22.236,06
36;5.308,48;4.980,04;2.623,82;4.066,17;1.036,48;1.506,11;792,58;4.293,44;1.212,64;1.138,21;1.473,71;2.870,29;31.301,97
37;3.591,71;2.806,59;2.635,79;2.377,79;1.415,90;1.168,53;2.724,99;1.828,03;1.371,65;801,56;1.147,49;2.824,53;24.694,56
38;3.459,20;2.883,58;3.881,24;1.965,59;1.550,88;1.051,61;342,99;2.190,10;529,43;312,92;493,50;3.302,42;21.963,46
39;2.032,14;1.895,78;3.330,96;2.484,02;2.102,96;1.095,76;1.437,90;1.563,11;1.798,40;1.992,08;1.421,05;1.841,80;22.995,96
40;5.140,84;3.404,60;4.015,56;1.348,93;1.540,75;1.041,40;488,27;1.485,59;2.166,47;1.159,05;2.169,79;3.065,49;27.026,74
41;1.075,83;552,94;2.151,63;1.758,11;2.175,24;677,11;106,42;506,25;426,05;483,45;701,48;1.186,87;11.801,38
42;1.919,61;886,35;1.042,69;515,07;1.577,31;1.876,06;1.964,54;3.547,02;2.465,33;1.367,68;1.581,57;1.926,00;20.669,23
43;1.205,84;1.886,01;248,93;1.072,41;172,02;1.129,06;2.310,97;1.132,40;1.815,62;1.528,98;1.655,88;1.086,07;15.244,19
44;1.622,00;1.603,88;1.090,39;1.897,02;1.010,25;836,98;980,25;925,00;1.383,51;2.895,56;2.131,48;1.481,54;17.857,86
45;1.342,31;1.115,90;1.402,05;2.538,36;1.568,21;1.203,89;2.171,91;1.249,39;1.687,85;1.780,99;1.789,13;963,33;18.813,32
46;2.445,21;2.395,94;1.301,21;1.351,75;1.976,20;1.091,94;923,93;1.111,97;1.601,79;1.272,05;2.000,89;2.762,53;20.235,41
47;1.792,15;874,16;543,53;616,36;855,06;2.123,58;955,16;226,77;2.382,90;1.586,66;2.621,18;1.794,87;16.372,38
48;612,01;2.423,18;903,82;1.010,22;2.891,96;2.108,02;938,62;637,39;3.018,07;2.856,01;2.600,87;529,20;20.529,37
49;1.180,68;678,28;923,17;1.522,61;1.731,08;597,69;1.350,53;1.748,24;1.983,77;1.431,48;2.128,99;956,64;16.233,16
50;2.303,08;437,24;2.779,05;2.576,46;967,09;940,78;1.430,07;1.299,18;1.387,51;1.070,48;1.848,63;1.136,91;18.176,48
51;1.299,16;1.363,04;796,84;713,99;1.602,61;1.535,32;1.344,54;1.630,63;813,03;1.108,74;922,63;2.819,65;15.950,18
52;1.171,24;1.077,93;1.347,16;1.638,89;480,08;2.644,20;3.321,46;1.163,47;2.610,46;3.646,47;2.834,48;1.131,61;23.067,45
53;1.581,27;777,41;1.020,67;1.120,52;491,35;569,06;1.382,82;973,19;1.308,80;3.962,85;1.077,77;3.469,91;17.735,62
54;845,68;770,88;1.247,12;655,39;1.146,40;1.055,12;1.817,94;1.338,07;2.902,89;1.465,32;1.486,85;589,23;15.320,89
55;2.902,35;912,52;1.075,40;1.128,43;567,37;1.374,49;605,09;973,47;1.273,72;1.383,89;757,05;1.898,71;14.852,49
Total;150.214,38;150.130,91;155.468,91;78.122,56;64.289,87;56.762,82;72.029,35;66.324,63;64.750,44;65.699,26;64.355,46;113.440,16;1.101.588,75
